Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10-Nov-16
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,7-Dec-15
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,7-Jan-18
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,12-Sep-16
Charter Oak Bank,Napa,CA,57855,Bank of Marin,18-Feb-11,29-Jan-19
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,11-Feb-11,19-Aug-14
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,5-Nov-10,29-Jan-19
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,12-Sep-16
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,8-Aug-18
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,20-Aug-10,29-Jan-19
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",20-Aug-10,29-Jan-19
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,29-Jan-19
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,7-Sep-17
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,31-Jan-19
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,31-Jan-19
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,31-Jan-19
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,31-Jan-19
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,31-Jan-19
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,1-Feb-19
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,1-Feb-19
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10-Apr-17
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,1-Feb-19
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,1-Feb-19
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,1-Feb-19
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,1-Feb-19
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,1-Feb-19
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,1-Feb-19
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,20-Oct-16
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,14-Sep-18
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,26-Jun-09,21-Feb-18
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,26-Jun-09,5-Feb-15
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,31-Jan-19
County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,1-Feb-19
Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,8-Aug-18
1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,1-Feb-19
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,31-Jan-19
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,1-Feb-19
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,1-Feb-19
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,12-Sep-16
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",11-Jul-08,1-Feb-19
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,20-Oct-08
